date,Z,D,up5,dn5,lb2,lb3p,n,maxb
2016-01-04,10,1271,14,2392,0,0,2478,1
2016-01-05,55,48,171,711,7,0,2480,2
2016-01-06,127,1,400,2,11,4,2482,3
2016-01-07,5,1286,10,2431,2,1,2482,4
2016-01-08,86,9,313,97,1,1,2474,3
2016-01-11,11,1239,15,2041,5,0,2471,2
2016-01-12,34,100,127,242,1,2,2478,3
2016-01-13,9,161,14,965,0,0,2478,1
2016-01-14,119,8,796,17,3,0,2482,2
2016-01-15,12,67,33,1051,5,1,2485,3
2016-01-18,79,7,315,24,2,3,2472,4
2016-01-19,136,8,727,9,16,3,2480,4
2016-01-20,38,11,98,49,6,3,2487,3
2016-01-21,10,91,25,1075,1,1,2484,3
2016-01-22,52,12,191,33,2,1,2488,3
2016-01-25,67,11,176,19,9,2,2490,4
2016-01-26,9,997,17,2226,0,1,2487,5
2016-01-27,52,40,131,274,3,1,2484,6
2016-01-28,10,232,25,1317,3,1,2486,3
2016-01-29,99,8,796,19,4,2,2480,4
2016-02-01,20,33,63,233,5,2,2477,4
2016-02-02,119,1,595,6,4,2,2477,4
2016-02-03,46,3,116,16,6,4,2478,5
2016-02-04,100,3,254,3,10,5,2477,6
2016-02-05,31,4,72,71,7,3,2481,3
2016-02-15,59,7,141,17,3,5,2491,4
2016-02-16,171,0,890,2,9,5,2492,5
2016-02-17,88,1,223,4,19,5,2496,5
2016-02-18,62,3,115,7,5,8,2497,3
2016-02-19,36,0,106,6,7,3,2493,4
2016-02-22,79,2,239,3,10,7,2492,5
2016-02-23,48,1,113,30,10,9,2492,6
2016-02-24,58,4,143,78,6,4,2488,7
2016-02-25,10,1381,18,2312,5,0,2483,2
2016-02-26,52,12,150,148,4,2,2483,3
2016-02-29,11,563,27,1838,3,2,2488,4
2016-03-01,62,7,290,30,1,2,2491,5
2016-03-02,193,2,1479,4,12,3,2494,6
2016-03-03,53,5,114,11,7,4,2490,6
2016-03-04,19,66,47,918,0,1,2492,4
2016-03-07,73,1,282,2,4,0,2488,2
2016-03-08,53,1,190,17,9,0,2489,2
2016-03-09,13,14,25,282,0,0,2491,1
2016-03-10,6,10,16,107,0,0,2499,1
2016-03-11,18,8,65,38,0,0,2505,1
2016-03-14,96,5,643,7,4,0,2505,2
2016-03-15,12,9,46,60,0,0,2505,1
2016-03-16,13,4,38,31,0,0,2509,1
2016-03-17,79,3,597,3,2,0,2508,2
2016-03-18,136,0,660,0,24,2,2504,3
2016-03-21,111,0,349,0,16,9,2496,4
2016-03-22,33,0,112,3,6,5,2494,4
2016-03-23,58,0,151,4,4,5,2496,5
2016-03-24,37,2,72,105,8,4,2484,5
2016-03-25,33,2,139,27,1,4,2485,4
2016-03-28,24,0,65,33,3,1,2475,4
2016-03-29,8,6,30,193,0,2,2475,5
2016-03-30,97,3,630,5,2,1,2471,4
2016-03-31,52,5,142,10,11,3,2477,5
2016-04-01,21,3,86,39,2,1,2465,4
2016-04-05,87,2,328,3,3,2,2462,5
2016-04-06,48,1,127,7,6,1,2458,4
2016-04-07,24,0,56,58,0,1,2460,3
2016-04-08,22,4,70,53,4,1,2465,4
2016-04-11,62,0,264,7,2,1,2454,3
2016-04-12,23,10,71,81,4,2,2459,4
2016-04-13,48,0,148,0,4,3,2461,5
2016-04-14,24,1,143,3,1,5,2465,6
2016-04-15,21,3,86,8,4,2,2458,5
2016-04-18,18,3,51,54,2,1,2459,5
2016-04-19,23,3,80,11,3,2,2463,6
2016-04-20,17,61,42,1503,3,3,2457,4
2016-04-21,25,7,72,136,2,0,2460,2
2016-04-22,24,8,114,52,3,0,2463,2
2016-04-25,15,3,64,31,1,1,2462,3
2016-04-26,33,0,116,8,1,1,2460,3
2016-04-27,21,1,70,12,1,1,2464,4
2016-04-28,17,3,46,19,0,0,2461,1
2016-04-29,16,4,59,10,2,0,2460,2
2016-05-03,48,0,319,0,1,0,2461,2
2016-05-04,25,0,69,3,3,0,2467,2
2016-05-05,26,0,102,3,3,1,2465,3
2016-05-06,7,23,17,1001,1,2,2470,3
2016-05-09,4,130,17,1120,0,0,2472,1
2016-05-10,8,19,46,89,0,0,2474,1
2016-05-11,14,28,62,130,2,0,2477,2
2016-05-12,15,15,70,71,1,1,2472,3
2016-05-13,13,8,49,23,0,1,2469,3
2016-05-16,45,6,195,12,2,1,2475,4
2016-05-17,25,4,69,29,3,1,2477,3
2016-05-18,7,16,19,542,0,1,2477,3
2016-05-19,22,4,81,11,2,1,2473,4
2016-05-20,36,5,132,11,7,1,2476,3
2016-05-23,43,1,175,4,4,1,2474,4
2016-05-24,14,1,38,29,0,0,2478,1
2016-05-25,11,1,42,21,0,0,2479,1
2016-05-26,19,1,85,6,1,0,2482,2
2016-05-27,23,1,65,14,1,0,2483,2
2016-05-30,12,2,55,21,1,0,2490,2
2016-05-31,86,0,739,2,3,1,2490,3
2016-06-01,38,0,107,0,10,1,2488,3
2016-06-02,47,0,149,2,4,4,2489,3
2016-06-03,38,1,90,9,3,5,2494,4
2016-06-06,33,3,89,9,3,2,2489,5
2016-06-07,41,3,131,4,7,3,2499,6
2016-06-08,30,2,84,40,5,2,2498,6
2016-06-13,6,210,17,1366,0,0,2494,1
2016-06-14,29,3,104,17,0,0,2496,1
2016-06-15,100,2,489,2,8,0,2501,2
2016-06-16,54,1,132,14,20,2,2499,3
2016-06-17,37,0,127,14,2,4,2497,4
2016-06-20,39,10,135,23,4,1,2494,5
2016-06-21,18,4,50,82,2,2,2496,6
2016-06-22,59,5,192,9,2,2,2504,4
2016-06-23,31,3,74,23,5,1,2507,3
2016-06-24,37,0,88,12,4,2,2512,3
2016-06-27,63,1,269,2,6,2,2510,3
2016-06-28,55,2,161,6,6,4,2515,4
2016-06-29,31,0,99,2,6,2,2513,4
2016-06-30,29,10,73,67,0,3,2514,5
2016-07-01,15,0,59,7,3,2,2519,4
2016-07-04,52,2,192,5,1,4,2521,5
2016-07-05,32,1,100,6,8,3,2529,6
2016-07-06,49,1,143,10,6,5,2530,7
2016-07-07,34,3,100,14,4,4,2531,8
2016-07-08,23,3,63,24,2,3,2531,9
2016-07-11,22,10,71,106,1,1,2529,8
2016-07-12,34,3,147,17,5,0,2536,2
2016-07-13,27,1,91,7,4,1,2531,3
2016-07-14,20,1,55,10,2,3,2535,4
2016-07-15,17,5,43,24,2,1,2538,4
2016-07-18,19,7,68,38,1,1,2544,3
2016-07-19,23,4,72,10,2,1,2546,3
2016-07-20,26,3,68,11,4,2,2545,4
2016-07-21,21,4,73,26,3,3,2546,5
2016-07-22,10,3,39,46,0,1,2548,6
2016-07-25,19,7,81,49,2,1,2549,7
2016-07-26,12,4,76,5,2,1,2555,3
2016-07-27,13,74,22,1336,1,0,2560,2
2016-07-28,16,11,77,41,2,1,2565,3
2016-07-29,6,4,32,50,0,1,2567,4
2016-08-01,5,22,23,188,0,1,2571,5
2016-08-02,14,3,70,12,1,0,2578,2
2016-08-03,29,1,84,4,3,1,2575,3
2016-08-04,14,0,57,2,0,0,2575,1
2016-08-05,9,2,33,9,1,0,2579,2
2016-08-08,21,4,98,18,0,1,2587,3
2016-08-09,28,0,90,1,1,0,2590,2
2016-08-10,12,0,45,5,1,1,2593,3
2016-08-11,6,1,21,28,0,0,2593,1
2016-08-12,18,1,57,3,0,0,2597,1
2016-08-15,38,0,158,0,9,0,2595,2
2016-08-16,37,1,91,8,5,3,2596,3
2016-08-17,30,1,93,12,3,1,2598,3
2016-08-18,28,0,76,3,5,2,2598,3
2016-08-19,29,0,94,10,6,5,2598,3
2016-08-22,22,13,42,103,0,3,2601,4
2016-08-23,15,0,50,18,3,1,2602,4
2016-08-24,28,0,65,5,2,1,2603,3
2016-08-25,18,1,51,20,3,2,2594,4
2016-08-26,24,1,65,15,2,2,2592,4
2016-08-29,22,1,60,26,4,1,2589,5
2016-08-30,12,0,44,15,1,1,2596,6
2016-08-31,12,1,40,8,2,1,2594,7
2016-09-01,12,2,30,24,1,1,2601,3
2016-09-02,11,3,29,16,1,0,2600,2
2016-09-05,22,0,79,8,2,0,2610,2
2016-09-06,30,1,129,2,5,0,2610,2
2016-09-07,18,0,66,9,4,0,2607,2
2016-09-08,19,0,65,8,3,0,2607,2
2016-09-09,22,1,39,18,5,0,2602,2
2016-09-12,5,3,21,454,0,1,2596,3
2016-09-13,28,5,105,9,1,1,2594,4
2016-09-14,18,3,38,33,3,1,2585,3
2016-09-19,18,0,80,4,1,1,2582,4
2016-09-20,14,1,49,5,1,0,2588,2
2016-09-21,10,2,41,9,3,0,2585,2
2016-09-22,18,0,56,1,0,1,2585,3
2016-09-23,17,4,42,36,2,1,2583,4
2016-09-26,7,10,16,238,0,0,2591,1
2016-09-27,17,2,52,15,2,0,2594,2
2016-09-28,9,0,27,8,0,1,2599,3
2016-09-29,10,1,44,8,1,0,2598,2
2016-09-30,11,0,41,7,1,1,2602,3
2016-10-10,41,0,184,17,3,0,2610,2
2016-10-11,29,0,93,2,4,3,2612,3
2016-10-12,22,0,68,5,2,3,2626,4
2016-10-13,31,0,72,1,6,3,2625,5
2016-10-14,15,1,43,13,1,4,2630,6
2016-10-17,17,1,42,17,0,4,2636,7
2016-10-18,28,1,99,6,3,1,2633,8
2016-10-19,26,0,65,3,3,3,2634,3
